Ensembl_gene	Cancer_type	Gene_name	count
ENSG00000133606	TCGA-OV	MKRN1	7
ENSG00000141401	TCGA-OV	IMPA2	7
ENSG00000141698	TCGA-OV	NT5C3B	7
ENSG00000143067	TCGA-OV	ZNF697	7
ENSG00000145014	TCGA-OV	TMEM44	7
ENSG00000145782	TCGA-OV	ATG12	7
ENSG00000145920	TCGA-OV	CPLX2	7
ENSG00000151892	TCGA-OV	GFRA1	7
ENSG00000152457	TCGA-OV	DCLRE1C	7
ENSG00000153187	TCGA-OV	HNRNPU	7
ENSG00000154277	TCGA-OV	UCHL1	7
ENSG00000157456	TCGA-OV	CCNB2	7
ENSG00000159388	TCGA-OV	BTG2	7
ENSG00000160219	TCGA-OV	GAB3	7
ENSG00000161653	TCGA-OV	NAGS	7
ENSG00000162068	TCGA-OV	NTN3	7
ENSG00000163959	TCGA-OV	SLC51A	7
ENSG00000165175	TCGA-OV	MID1IP1	7
ENSG00000165555	TCGA-OV	NOXRED1	7
ENSG00000166260	TCGA-OV	COX11	7
ENSG00000168004	TCGA-OV	HRASLS5	7
ENSG00000168056	TCGA-OV	LTBP3	7
ENSG00000168569	TCGA-OV	TMEM223	7
ENSG00000170142	TCGA-OV	UBE2E1	7
ENSG00000170516	TCGA-OV	COX7B2	7
ENSG00000171314	TCGA-OV	PGAM1	7
ENSG00000175538	TCGA-OV	KCNE3	7
ENSG00000179241	TCGA-OV	LDLRAD3	7
ENSG00000180938	TCGA-OV	ZNF572	7
ENSG00000182870	TCGA-OV	GALNT9	7
ENSG00000184178	TCGA-OV	SCFD2	7
ENSG00000184345	TCGA-OV	IQCF2	7
ENSG00000186567	TCGA-OV	CEACAM19	7
ENSG00000187231	TCGA-OV	SESTD1	7
ENSG00000187268	TCGA-OV	FAM9C	7
ENSG00000188761	TCGA-OV	BCL2L15	7
ENSG00000189401	TCGA-OV	OTUD6A	7
ENSG00000204382	TCGA-OV	XAGE1B	7
ENSG00000205060	TCGA-OV	SLC35B4	7
ENSG00000205981	TCGA-OV	DNAJC19	7
ENSG00000213139	TCGA-OV	CRYGS	7
ENSG00000225614	TCGA-OV	ZNF469	7
ENSG00000242173	TCGA-OV	ARHGDIG	7
ENSG00000243135	TCGA-OV	UGT1A3	7
ENSG00000253309	TCGA-OV	SERPINE3	7
ENSG00000005249	TCGA-PAAD	PRKAR2B	7
ENSG00000025796	TCGA-PAAD	SEC63	7
ENSG00000030066	TCGA-PAAD	NUP160	7
ENSG00000074855	TCGA-PAAD	ANO8	7
ENSG00000083857	TCGA-PAAD	FAT1	7
ENSG00000108375	TCGA-PAAD	RNF43	7
ENSG00000115970	TCGA-PAAD	THADA	7
ENSG00000118434	TCGA-PAAD	SPACA1	7
ENSG00000133124	TCGA-PAAD	IRS4	7
ENSG00000135108	TCGA-PAAD	FBXO21	7
ENSG00000137393	TCGA-PAAD	RNF144B	7
ENSG00000138061	TCGA-PAAD	CYP1B1	7
ENSG00000139718	TCGA-PAAD	SETD1B	7
ENSG00000142546	TCGA-PAAD	NOSIP	7
ENSG00000147381	TCGA-PAAD	MAGEA4	7
ENSG00000147889	TCGA-PAAD	CDKN2A	7
ENSG00000152086	TCGA-PAAD	TUBA3E	7
ENSG00000157131	TCGA-PAAD	C8A	7
ENSG00000157837	TCGA-PAAD	SPPL3	7
ENSG00000163513	TCGA-PAAD	TGFBR2	7
ENSG00000167393	TCGA-PAAD	PPP2R3B	7
ENSG00000179751	TCGA-PAAD	SYCN	7
ENSG00000183160	TCGA-PAAD	TMEM119	7
ENSG00000184937	TCGA-PAAD	WT1	7
ENSG00000188508	TCGA-PAAD	KRTDAP	7
ENSG00000203995	TCGA-PAAD	ZYG11A	7
ENSG00000205542	TCGA-PAAD	TMSB4X	7
ENSG00000230510	TCGA-PAAD	PPP5D1	7
ENSG00000249319	TCGA-PAAD	AC068533.7	7
ENSG00000012504	TCGA-PCPG	NR1H4	7
ENSG00000034693	TCGA-PCPG	PEX3	7
ENSG00000053918	TCGA-PCPG	KCNQ1	7
ENSG00000106003	TCGA-PCPG	LFNG	7
ENSG00000129988	TCGA-PCPG	LBP	7
ENSG00000134291	TCGA-PCPG	TMEM106C	7
ENSG00000141086	TCGA-PCPG	CTRL	7
ENSG00000147443	TCGA-PCPG	DOK2	7
ENSG00000149557	TCGA-PCPG	FEZ1	7
ENSG00000151239	TCGA-PCPG	TWF1	7
ENSG00000157017	TCGA-PCPG	GHRL	7
ENSG00000163792	TCGA-PCPG	TCF23	7
ENSG00000164124	TCGA-PCPG	TMEM144	7
ENSG00000168288	TCGA-PCPG	MMADHC	7
ENSG00000171150	TCGA-PCPG	SOCS5	7
ENSG00000180347	TCGA-PCPG	CCDC129	7
ENSG00000185339	TCGA-PCPG	TCN2	7
ENSG00000196378	TCGA-PCPG	ZNF34	7
ENSG00000196862	TCGA-PCPG	RGPD4	7
ENSG00000204913	TCGA-PCPG	LRRC3C	7
ENSG00000232810	TCGA-PCPG	TNF	7
ENSG00000019549	TCGA-PRAD	SNAI2	7
ENSG00000038532	TCGA-PRAD	CLEC16A	7
ENSG00000079332	TCGA-PRAD	SAR1A	7
ENSG00000100441	TCGA-PRAD	KHNYN	7
ENSG00000102226	TCGA-PRAD	USP11	7
ENSG00000103707	TCGA-PRAD	MTFMT	7
ENSG00000104415	TCGA-PRAD	WISP1	7
ENSG00000104450	TCGA-PRAD	SPAG1	7
ENSG00000105726	TCGA-PRAD	ATP13A1	7
ENSG00000108592	TCGA-PRAD	FTSJ3	7
ENSG00000112033	TCGA-PRAD	PPARD	7
ENSG00000115221	TCGA-PRAD	ITGB6	7
ENSG00000117148	TCGA-PRAD	ACTL8	7
ENSG00000118526	TCGA-PRAD	TCF21	7
ENSG00000121680	TCGA-PRAD	PEX16	7
ENSG00000124491	TCGA-PRAD	F13A1	7
ENSG00000124657	TCGA-PRAD	OR2B6	7
ENSG00000125814	TCGA-PRAD	NAPB	7
ENSG00000125977	TCGA-PRAD	EIF2S2	7
ENSG00000131351	TCGA-PRAD	HAUS8	7
ENSG00000139988	TCGA-PRAD	RDH12	7
ENSG00000143921	TCGA-PRAD	ABCG8	7
ENSG00000145757	TCGA-PRAD	SPATA9	7
ENSG00000148965	TCGA-PRAD	SAA4	7
ENSG00000153250	TCGA-PRAD	RBMS1	7
ENSG00000159917	TCGA-PRAD	ZNF235	7
ENSG00000162636	TCGA-PRAD	FAM102B	7
ENSG00000162643	TCGA-PRAD	WDR63	7
ENSG00000163093	TCGA-PRAD	BBS5	7
ENSG00000164889	TCGA-PRAD	SLC4A2	7
ENSG00000164920	TCGA-PRAD	OSR2	7
ENSG00000165304	TCGA-PRAD	MELK	7
ENSG00000171451	TCGA-PRAD	DSEL	7
ENSG00000171487	TCGA-PRAD	NLRP5	7
ENSG00000180616	TCGA-PRAD	SSTR2	7
ENSG00000180953	TCGA-PRAD	ST20	7
ENSG00000182634	TCGA-PRAD	OR10G7	7
ENSG00000185418	TCGA-PRAD	TARSL2	7
ENSG00000196504	TCGA-PRAD	PRPF40A	7
ENSG00000221826	TCGA-PRAD	PSG3	7
ENSG00000237521	TCGA-PRAD	OR7E24	7
ENSG00000055208	TCGA-READ	TAB2	7
ENSG00000074695	TCGA-READ	LMAN1	7
ENSG00000109670	TCGA-READ	FBXW7	7
ENSG00000117262	TCGA-READ	GPR89A	7
ENSG00000121879	TCGA-READ	PIK3CA	7
ENSG00000127870	TCGA-READ	RNF6	7
ENSG00000134186	TCGA-READ	PRPF38B	7
ENSG00000135392	TCGA-READ	DNAJC14	7
ENSG00000141744	TCGA-READ	PNMT	7
ENSG00000151474	TCGA-READ	FRMD4A	7
ENSG00000152061	TCGA-READ	RABGAP1L	7
ENSG00000154227	TCGA-READ	CERS3	7
ENSG00000154803	TCGA-READ	FLCN	7
ENSG00000159556	TCGA-READ	ISL2	7
ENSG00000170270	TCGA-READ	C14orf142	7
ENSG00000174775	TCGA-READ	HRAS	7
ENSG00000177426	TCGA-READ	TGIF1	7
ENSG00000184276	TCGA-READ	DEFB108B	7
ENSG00000184571	TCGA-READ	PIWIL3	7
ENSG00000184731	TCGA-READ	FAM110C	7
ENSG00000188508	TCGA-READ	KRTDAP	7
ENSG00000196159	TCGA-READ	FAT4	7
ENSG00000196284	TCGA-READ	SUPT3H	7
ENSG00000196712	TCGA-READ	NF1	7
ENSG00000008130	TCGA-SKCM	NADK	7
ENSG00000036530	TCGA-SKCM	CYP46A1	7
ENSG00000067208	TCGA-SKCM	EVI5	7
ENSG00000085117	TCGA-SKCM	CD82	7
ENSG00000087266	TCGA-SKCM	SH3BP2	7
ENSG00000104879	TCGA-SKCM	CKM	7
ENSG00000111224	TCGA-SKCM	PARP11	7
ENSG00000112309	TCGA-SKCM	B3GAT2	7
ENSG00000112655	TCGA-SKCM	PTK7	7
ENSG00000116350	TCGA-SKCM	SRSF4	7
ENSG00000116473	TCGA-SKCM	RAP1A	7
ENSG00000116668	TCGA-SKCM	SWT1	7
ENSG00000117682	TCGA-SKCM	DHDDS	7
ENSG00000133247	TCGA-SKCM	SUV420H2	7
ENSG00000133315	TCGA-SKCM	MACROD1	7
ENSG00000138613	TCGA-SKCM	APH1B	7
ENSG00000141298	TCGA-SKCM	SSH2	7
ENSG00000143418	TCGA-SKCM	CERS2	7
ENSG00000146576	TCGA-SKCM	C7orf26	7
ENSG00000147872	TCGA-SKCM	PLIN2	7
ENSG00000154930	TCGA-SKCM	ACSS1	7
ENSG00000157404	TCGA-SKCM	KIT	7
ENSG00000160145	TCGA-SKCM	KALRN	7
ENSG00000162105	TCGA-SKCM	SHANK2	7
ENSG00000162545	TCGA-SKCM	CAMK2N1	7
ENSG00000163293	TCGA-SKCM	NIPAL1	7
ENSG00000164307	TCGA-SKCM	ERAP1	7
ENSG00000164924	TCGA-SKCM	YWHAZ	7
ENSG00000169906	TCGA-SKCM	S100G	7
ENSG00000170917	TCGA-SKCM	NUDT6	7
ENSG00000175325	TCGA-SKCM	PROP1	7
ENSG00000176383	TCGA-SKCM	B3GNT4	7
ENSG00000187513	TCGA-SKCM	GJA4	7
ENSG00000196465	TCGA-SKCM	MYL6B	7
ENSG00000203907	TCGA-SKCM	OOEP	7
ENSG00000205497	TCGA-SKCM	OR51A4	7
ENSG00000267206	TCGA-SKCM	LCN6	7
ENSG00000003137	TCGA-STAD	CYP26B1	7
ENSG00000057252	TCGA-STAD	SOAT1	7
ENSG00000065320	TCGA-STAD	NTN1	7
ENSG00000067365	TCGA-STAD	METTL22	7
ENSG00000089876	TCGA-STAD	DHX32	7
ENSG00000091513	TCGA-STAD	TF	7
ENSG00000099290	TCGA-STAD	FAM21A	7
ENSG00000099769	TCGA-STAD	IGFALS	7
ENSG00000106526	TCGA-STAD	ACTR3C	7
ENSG00000106683	TCGA-STAD	LIMK1	7
ENSG00000123594	TCGA-STAD	ATXN3L	7
ENSG00000124380	TCGA-STAD	SNRNP27	7
ENSG00000128045	TCGA-STAD	RASL11B	7
ENSG00000129347	TCGA-STAD	KRI1	7
ENSG00000131061	TCGA-STAD	ZNF341	7
ENSG00000133193	TCGA-STAD	FAM104A	7
ENSG00000135624	TCGA-STAD	CCT7	7
ENSG00000138379	TCGA-STAD	MSTN	7
ENSG00000143315	TCGA-STAD	PIGM	7
ENSG00000148459	TCGA-STAD	PDSS1	7
ENSG00000155926	TCGA-STAD	SLA	7
ENSG00000159496	TCGA-STAD	RGL4	7
ENSG00000160796	TCGA-STAD	NBEAL2	7
ENSG00000161270	TCGA-STAD	NPHS1	7
ENSG00000165164	TCGA-STAD	CXorf22	7
ENSG00000168389	TCGA-STAD	MFSD2A	7
ENSG00000172232	TCGA-STAD	AZU1	7
ENSG00000187676	TCGA-STAD	B3GALTL	7
ENSG00000204366	TCGA-STAD	ZBTB12	7
ENSG00000206536	TCGA-STAD	OR5K3	7
ENSG00000213759	TCGA-STAD	UGT2B11	7
ENSG00000214300	TCGA-STAD	SPDYE3	7
ENSG00000236125	TCGA-STAD	USP17L4	7
ENSG00000081051	TCGA-TGCT	AFP	7
ENSG00000102547	TCGA-TGCT	CAB39L	7
ENSG00000156127	TCGA-TGCT	BATF	7
ENSG00000156959	TCGA-TGCT	LHFPL4	7
ENSG00000164758	TCGA-TGCT	MED30	7
ENSG00000173120	TCGA-TGCT	KDM2A	7
ENSG00000221978	TCGA-TGCT	CCNL2	7
ENSG00000013016	TCGA-THCA	EHD3	7
ENSG00000019102	TCGA-THCA	VSIG2	7
ENSG00000089505	TCGA-THCA	CMTM1	7
ENSG00000106484	TCGA-THCA	MEST	7
ENSG00000108256	TCGA-THCA	NUFIP2	7
ENSG00000115386	TCGA-THCA	REG1A	7
ENSG00000118777	TCGA-THCA	ABCG2	7
ENSG00000119392	TCGA-THCA	GLE1	7
ENSG00000121417	TCGA-THCA	ZNF211	7
ENSG00000124198	TCGA-THCA	ARFGEF2	7
ENSG00000124731	TCGA-THCA	TREM1	7
ENSG00000128928	TCGA-THCA	IVD	7
ENSG00000134588	TCGA-THCA	USP26	7
ENSG00000136457	TCGA-THCA	CHAD	7
ENSG00000136560	TCGA-THCA	TANK	7
ENSG00000144331	TCGA-THCA	ZNF385B	7
ENSG00000148175	TCGA-THCA	STOM	7
ENSG00000149133	TCGA-THCA	OR5F1	7
ENSG00000156006	TCGA-THCA	NAT2	7
ENSG00000157020	TCGA-THCA	SEC13	7
ENSG00000159212	TCGA-THCA	CLIC6	7
ENSG00000162706	TCGA-THCA	CADM3	7
ENSG00000164292	TCGA-THCA	RHOBTB3	7
ENSG00000164776	TCGA-THCA	PHKG1	7
ENSG00000165164	TCGA-THCA	CXorf22	7
ENSG00000167785	TCGA-THCA	ZNF558	7
ENSG00000170949	TCGA-THCA	ZNF160	7
ENSG00000172239	TCGA-THCA	PAIP1	7
ENSG00000172497	TCGA-THCA	ACOT12	7
ENSG00000175564	TCGA-THCA	UCP3	7
ENSG00000177354	TCGA-THCA	C10orf71	7
ENSG00000177673	TCGA-THCA	C2orf57	7
ENSG00000180209	TCGA-THCA	MYLPF	7
ENSG00000182240	TCGA-THCA	BACE2	7
ENSG00000198208	TCGA-THCA	RPS6KL1	7
ENSG00000198746	TCGA-THCA	GPATCH3	7
ENSG00000204379	TCGA-THCA	XAGE1A	7
ENSG00000204472	TCGA-THCA	AIF1	7
ENSG00000215545	TCGA-THCA	DEFB116	7
ENSG00000227057	TCGA-THCA	WDR46	7
ENSG00000230989	TCGA-THCA	HSBP1	7
ENSG00000267618	TCGA-THCA	RAD51L3-RFFL	7
ENSG00000268651	TCGA-THCA	CTAG1A	7
ENSG00000025293	TCGA-UCEC	PHF20	7
ENSG00000047230	TCGA-UCEC	CTPS2	7
ENSG00000068784	TCGA-UCEC	SRBD1	7
ENSG00000072080	TCGA-UCEC	SPP2	7
ENSG00000073331	TCGA-UCEC	ALPK1	7
ENSG00000090372	TCGA-UCEC	STRN4	7
ENSG00000095585	TCGA-UCEC	BLNK	7
ENSG00000100532	TCGA-UCEC	CGRRF1	7
ENSG00000100625	TCGA-UCEC	SIX4	7
ENSG00000100867	TCGA-UCEC	DHRS2	7
ENSG00000102837	TCGA-UCEC	OLFM4	7
ENSG00000105835	TCGA-UCEC	NAMPT	7
ENSG00000106635	TCGA-UCEC	BCL7B	7
ENSG00000107758	TCGA-UCEC	PPP3CB	7
ENSG00000111726	TCGA-UCEC	CMAS	7
ENSG00000113387	TCGA-UCEC	SUB1	7
ENSG00000113555	TCGA-UCEC	PCDH12	7
ENSG00000114988	TCGA-UCEC	LMAN2L	7
ENSG00000115963	TCGA-UCEC	RND3	7
ENSG00000119900	TCGA-UCEC	OGFRL1	7
ENSG00000120616	TCGA-UCEC	EPC1	7
ENSG00000135472	TCGA-UCEC	FAIM2	7
ENSG00000135569	TCGA-UCEC	TAAR5	7
ENSG00000136450	TCGA-UCEC	SRSF1	7
ENSG00000138303	TCGA-UCEC	ASCC1	7
ENSG00000139116	TCGA-UCEC	KIF21A	7
ENSG00000144893	TCGA-UCEC	MED12L	7
ENSG00000147459	TCGA-UCEC	DOCK5	7
ENSG00000151746	TCGA-UCEC	BICD1	7
ENSG00000151834	TCGA-UCEC	GABRA2	7
ENSG00000152219	TCGA-UCEC	ARL14EP	7
ENSG00000160219	TCGA-UCEC	GAB3	7
ENSG00000160888	TCGA-UCEC	IER2	7
ENSG00000160948	TCGA-UCEC	VPS28	7
ENSG00000162645	TCGA-UCEC	GBP2	7
ENSG00000163646	TCGA-UCEC	CLRN1	7
ENSG00000163714	TCGA-UCEC	U2SURP	7
ENSG00000163950	TCGA-UCEC	SLBP	7
ENSG00000165209	TCGA-UCEC	STRBP	7
ENSG00000166166	TCGA-UCEC	TRMT61A	7
ENSG00000174791	TCGA-UCEC	RIN1	7
ENSG00000176273	TCGA-UCEC	SLC35G1	7
ENSG00000176386	TCGA-UCEC	CDC26	7
ENSG00000176490	TCGA-UCEC	DIRAS1	7
ENSG00000178980	TCGA-UCEC	SEPW1	7
ENSG00000182348	TCGA-UCEC	ZNF804B	7
ENSG00000182634	TCGA-UCEC	OR10G7	7
ENSG00000183605	TCGA-UCEC	SFXN4	7
ENSG00000189001	TCGA-UCEC	SBSN	7
ENSG00000197165	TCGA-UCEC	SULT1A2	7
ENSG00000273706	TCGA-UCEC	LHX1	7
ENSG00000099849	TCGA-UCS	RASSF7	7
ENSG00000105568	TCGA-UCS	PPP2R1A	7
ENSG00000143878	TCGA-UCS	RHOB	7
ENSG00000160685	TCGA-UCS	ZBTB7B	7
ENSG00000184515	TCGA-UCS	BEX5	7
ENSG00000090273	TCGA-UVM	NUDC	7
ENSG00000108262	TCGA-UVM	GIT1	7
ENSG00000125691	TCGA-UVM	RPL23	7
ENSG00000180263	TCGA-UVM	FGD6	7
ENSG00000025772	TCGA-ACC	TOMM34	6
ENSG00000090060	TCGA-ACC	PAPOLA	6
ENSG00000101230	TCGA-ACC	ISM1	6
ENSG00000143891	TCGA-ACC	GALM	6
ENSG00000144504	TCGA-ACC	ANKMY1	6
ENSG00000162174	TCGA-ACC	ASRGL1	6
ENSG00000164654	TCGA-ACC	MIOS	6
ENSG00000173818	TCGA-ACC	ENDOV	6
ENSG00000173917	TCGA-ACC	HOXB2	6
ENSG00000253598	TCGA-ACC	SLC10A5	6
ENSG00000011405	TCGA-BLCA	PIK3C2A	6
ENSG00000057935	TCGA-BLCA	MTA3	6
ENSG00000064199	TCGA-BLCA	SPA17	6
ENSG00000064393	TCGA-BLCA	HIPK2	6
ENSG00000073536	TCGA-BLCA	NLE1	6
ENSG00000096746	TCGA-BLCA	HNRNPH3	6
ENSG00000101846	TCGA-BLCA	STS	6
ENSG00000103187	TCGA-BLCA	COTL1	6
ENSG00000103356	TCGA-BLCA	EARS2	6
ENSG00000104343	TCGA-BLCA	UBE2W	6
ENSG00000105290	TCGA-BLCA	APLP1	6
ENSG00000108823	TCGA-BLCA	SGCA	6
ENSG00000111490	TCGA-BLCA	TBC1D30	6
ENSG00000123338	TCGA-BLCA	NCKAP1L	6
ENSG00000124334	TCGA-BLCA	IL9R	6
ENSG00000125388	TCGA-BLCA	GRK4	6
ENSG00000128789	TCGA-BLCA	PSMG2	6
ENSG00000130818	TCGA-BLCA	ZNF426	6
ENSG00000134594	TCGA-BLCA	RAB33A	6
ENSG00000136770	TCGA-BLCA	DNAJC1	6
ENSG00000140374	TCGA-BLCA	ETFA	6
ENSG00000145002	TCGA-BLCA	FAM86B2	6
ENSG00000146453	TCGA-BLCA	PNLDC1	6
ENSG00000150455	TCGA-BLCA	TIRAP	6
ENSG00000155100	TCGA-BLCA	OTUD6B	6
ENSG00000163795	TCGA-BLCA	ZNF513	6
ENSG00000164303	TCGA-BLCA	ENPP6	6
ENSG00000164610	TCGA-BLCA	RP9	6
ENSG00000165732	TCGA-BLCA	DDX21	6
ENSG00000168434	TCGA-BLCA	COG7	6
ENSG00000168454	TCGA-BLCA	TXNDC2	6
ENSG00000169504	TCGA-BLCA	CLIC4	6
ENSG00000169598	TCGA-BLCA	DFFB	6
ENSG00000178338	TCGA-BLCA	ZNF354B	6
ENSG00000178927	TCGA-BLCA	C17orf62	6
ENSG00000180999	TCGA-BLCA	C1orf105	6
ENSG00000183269	TCGA-BLCA	OR52E8	6
ENSG00000183780	TCGA-BLCA	SLC35F3	6
ENSG00000185985	TCGA-BLCA	SLITRK2	6
ENSG00000189007	TCGA-BLCA	ADAT2	6
ENSG00000198060	TCGA-BLCA	MARCHF5	6
ENSG00000204542	TCGA-BLCA	C6orf15	6
ENSG00000213741	TCGA-BLCA	RPS29	6
ENSG00000285976	TCGA-BLCA	AL135905.2	6
ENSG00000007520	TCGA-BRCA	TSR3	6
ENSG00000040341	TCGA-BRCA	STAU2	6
ENSG00000052344	TCGA-BRCA	PRSS8	6
ENSG00000058335	TCGA-BRCA	RASGRF1	6
ENSG00000059804	TCGA-BRCA	SLC2A3	6
ENSG00000063169	TCGA-BRCA	GLTSCR1	6
ENSG00000065183	TCGA-BRCA	WDR3	6
ENSG00000065243	TCGA-BRCA	PKN2	6
ENSG00000065883	TCGA-BRCA	CDK13	6
ENSG00000068028	TCGA-BRCA	RASSF1	6
ENSG00000068912	TCGA-BRCA	ERLEC1	6
ENSG00000073670	TCGA-BRCA	ADAM11	6
ENSG00000075188	TCGA-BRCA	NUP37	6
ENSG00000076344	TCGA-BRCA	RGS11	6
ENSG00000079393	TCGA-BRCA	DUSP13	6
ENSG00000082258	TCGA-BRCA	CCNT2	6
ENSG00000086232	TCGA-BRCA	EIF2AK1	6
ENSG00000099338	TCGA-BRCA	CATSPERG	6
ENSG00000100036	TCGA-BRCA	SLC35E4	6
ENSG00000100632	TCGA-BRCA	ERH	6
ENSG00000105483	TCGA-BRCA	CARD8	6
ENSG00000105778	TCGA-BRCA	AVL9	6
ENSG00000106392	TCGA-BRCA	C1GALT1	6
ENSG00000106484	TCGA-BRCA	MEST	6
ENSG00000115947	TCGA-BRCA	ORC4	6
ENSG00000117010	TCGA-BRCA	ZNF684	6
ENSG00000120659	TCGA-BRCA	TNFSF11	6
ENSG00000124257	TCGA-BRCA	NEURL2	6
ENSG00000125744	TCGA-BRCA	RTN2	6
ENSG00000130595	TCGA-BRCA	TNNT3	6
ENSG00000130830	TCGA-BRCA	MPP1	6
ENSG00000131187	TCGA-BRCA	F12	6
ENSG00000134249	TCGA-BRCA	ADAM30	6
ENSG00000134627	TCGA-BRCA	PIWIL4	6
ENSG00000135018	TCGA-BRCA	UBQLN1	6
ENSG00000135423	TCGA-BRCA	GLS2	6
ENSG00000135469	TCGA-BRCA	COQ10A	6
ENSG00000135899	TCGA-BRCA	SP110	6
ENSG00000138434	TCGA-BRCA	SSFA2	6
ENSG00000138641	TCGA-BRCA	HERC3	6
ENSG00000140332	TCGA-BRCA	TLE3	6
ENSG00000140391	TCGA-BRCA	TSPAN3	6
ENSG00000141759	TCGA-BRCA	TXNL4A	6
ENSG00000144891	TCGA-BRCA	AGTR1	6
ENSG00000145692	TCGA-BRCA	BHMT	6
ENSG00000146476	TCGA-BRCA	C6orf211	6
ENSG00000147003	TCGA-BRCA	TMEM27	6
ENSG00000149596	TCGA-BRCA	JPH2	6
ENSG00000151948	TCGA-BRCA	GLT1D1	6
ENSG00000153885	TCGA-BRCA	KCTD15	6
ENSG00000154813	TCGA-BRCA	DPH3	6
ENSG00000155380	TCGA-BRCA	SLC16A1	6
ENSG00000160051	TCGA-BRCA	IQCC	6
ENSG00000160695	TCGA-BRCA	VPS11	6
ENSG00000161270	TCGA-BRCA	NPHS1	6
ENSG00000162104	TCGA-BRCA	ADCY9	6
ENSG00000162377	TCGA-BRCA	COA7	6
ENSG00000163319	TCGA-BRCA	MRPS18C	6
ENSG00000163479	TCGA-BRCA	SSR2	6
ENSG00000163534	TCGA-BRCA	FCRL1	6
ENSG00000163576	TCGA-BRCA	EFHB	6
ENSG00000163738	TCGA-BRCA	MTHFD2L	6
ENSG00000163866	TCGA-BRCA	SMIM12	6
ENSG00000164512	TCGA-BRCA	ANKRD55	6
ENSG00000164591	TCGA-BRCA	MYOZ3	6
ENSG00000164756	TCGA-BRCA	SLC30A8	6
ENSG00000165443	TCGA-BRCA	PHYHIPL	6
ENSG00000166840	TCGA-BRCA	GLYATL1	6
ENSG00000167397	TCGA-BRCA	VKORC1	6
ENSG00000168283	TCGA-BRCA	BMI1	6
ENSG00000168398	TCGA-BRCA	BDKRB2	6
ENSG00000168925	TCGA-BRCA	CTRB1	6
ENSG00000170370	TCGA-BRCA	EMX2	6
ENSG00000170956	TCGA-BRCA	CEACAM3	6
ENSG00000171794	TCGA-BRCA	UTF1	6
ENSG00000172487	TCGA-BRCA	OR8J1	6
ENSG00000173338	TCGA-BRCA	KCNK7	6
ENSG00000173432	TCGA-BRCA	SAA1	6
ENSG00000174804	TCGA-BRCA	FZD4	6
ENSG00000175121	TCGA-BRCA	WFDC5	6
ENSG00000176142	TCGA-BRCA	TMEM39A	6
ENSG00000177663	TCGA-BRCA	IL17RA	6
ENSG00000182247	TCGA-BRCA	UBE2E2	6
ENSG00000182885	TCGA-BRCA	GPR97	6
ENSG00000184786	TCGA-BRCA	TCTE3	6
ENSG00000185966	TCGA-BRCA	LCE3E	6
ENSG00000188816	TCGA-BRCA	HMX2	6
ENSG00000196365	TCGA-BRCA	LONP1	6
ENSG00000196539	TCGA-BRCA	OR2T3	6
ENSG00000204264	TCGA-BRCA	PSMB8	6
ENSG00000213759	TCGA-BRCA	UGT2B11	6
ENSG00000213949	TCGA-BRCA	ITGA1	6
ENSG00000214655	TCGA-BRCA	ZSWIM8	6
ENSG00000233701	TCGA-BRCA	PRR23C	6
ENSG00000237651	TCGA-BRCA	C2orf74	6
ENSG00000239305	TCGA-BRCA	RNF103	6
ENSG00000243156	TCGA-BRCA	MICAL3	6
ENSG00000258289	TCGA-BRCA	CHURC1	6
ENSG00000273213	TCGA-BRCA	RP5-998N21.10	6
ENSG00000100842	TCGA-CESC	EFS	6
ENSG00000100926	TCGA-CESC	TM9SF1	6
ENSG00000101266	TCGA-CESC	CSNK2A1	6
ENSG00000101473	TCGA-CESC	ACOT8	6
ENSG00000102158	TCGA-CESC	MAGT1	6
ENSG00000103852	TCGA-CESC	TTC23	6
ENSG00000108797	TCGA-CESC	CNTNAP1	6
ENSG00000112511	TCGA-CESC	PHF1	6
ENSG00000114978	TCGA-CESC	MOB1A	6
ENSG00000116704	TCGA-CESC	SLC35D1	6
ENSG00000134760	TCGA-CESC	DSG1	6
ENSG00000135655	TCGA-CESC	USP15	6
ENSG00000139187	TCGA-CESC	KLRG1	6
ENSG00000154007	TCGA-CESC	ASB17	6
ENSG00000163545	TCGA-CESC	NUAK2	6
ENSG00000164440	TCGA-CESC	TXLNB	6
ENSG00000166025	TCGA-CESC	AMOTL1	6
ENSG00000167771	TCGA-CESC	RCOR2	6
ENSG00000168389	TCGA-CESC	MFSD2A	6
ENSG00000170364	TCGA-CESC	SETMAR	6
ENSG00000185052	TCGA-CESC	SLC24A3	6
ENSG00000187288	TCGA-CESC	CIDEC	6
ENSG00000196859	TCGA-CESC	KRT39	6
ENSG00000212123	TCGA-CESC	PRR22	6
ENSG00000239789	TCGA-CESC	MRPS17	6
ENSG00000244474	TCGA-CESC	UGT1A4	6
ENSG00000249581	TCGA-CESC	CLRN2	6
ENSG00000250722	TCGA-CESC	SEPP1	6
ENSG00000253309	TCGA-CESC	SERPINE3	6
ENSG00000065559	TCGA-CHOL	MAP2K4	6
ENSG00000108375	TCGA-CHOL	RNF43	6
ENSG00000143595	TCGA-CHOL	AQP10	6
ENSG00000163939	TCGA-CHOL	PBRM1	6
ENSG00000173113	TCGA-CHOL	TRMT112	6
ENSG00000178187	TCGA-CHOL	ZNF454	6
ENSG00000183318	TCGA-CHOL	SPDYE4	6
